Columbia Airport,Columbia,United States,*O22,O22,38.030417,120.414556,2120.7,America/Los_Angeles,,airnav.com
Hanford Municipal Airport,Hanford,United States,*HJO,HJO,36.3167222,-119.6276667,240,America/Los_Angeles,,airnav.com
Ukiah Municipal Airport,Ukiah,United States,*UKI,UKI,39.1259444,-123.2008611,617,America/Los_Angeles,,airnav.com
Siskiyou County Airport,Montague,United States,*SIY,SIY,41.7814444,-122.4681111,2651,America/Los_Angeles,,airnav.com
Susanville Municipal Airport,Susanville,United States,*SVE,SVE,40.3756944,-120.5726944,4149.1,America/Los_Angeles,,airnav.com
Limon Municipal Airport,Limon,United States,*LIC,LIC,39.2747778,-103.6658611,5374,America/Denver,,airnav.com
Statesboro-Bulloch County Airport,Statesboro,United States,*TBR,TBR,32.48275,-81.7369444,186.7,America/New_York,,airnav.com
Coles County Memorial Airport,Mattoon/Charleston,United States,*MTO,MTO,39.4778889,-88.2799722,722.3,America/Chicago,,airnav.com
Southern Illinois Airport,"Carbondale/Murphysboro,",United States,*MDH,MDH,37.7780833,-89.2520278,411.2,America/Chicago,,airnav.com
Kokomo Municipal Airport,Kokomo,United States,*OKK,OKK,40.5281775,-86.05899,830,America/Chicago,,airnav.com
Ames Municipal Airport,Ames,United States,*AMW,AMW,41.9920556,-93.6218333,956,America/Chicago,,airnav.com
Ottumwa Regional Airport,Ottumwa,United States,*OTM,OTM,41.1071813,-92.4470727,845,America/Chicago,,airnav.com
Fort Scott Municipal Airport,Fort Scott,United States,*FSK,FSK,37.7983611,-94.7693611,918,America/Chicago,,airnav.com
Houma-Terrebonne Airport,Houma,United States,*HUM,HUM,29.5665021,-90.6604267,9,America/Chicago,,airnav.com
Portland International Jetport,Portland,United States,*PWM,PWM,43.6456435,-70.3086164,75.7,America/New_York,,airnav.com
Frederick Municipal Airport,Frederick,United States,*FDK,FDK,39.4175556,-77.3743056,306,America/New_York,,airnav.com
St. Mary's County Regional Airport,Leonardtown,United States,*2W6,2W6,38.3153611,-76.5501111,142,America/New_York,,airnav.com
Custer Airport,Monroe,United States,*TTF,TTF,41.9398889,-83.4346667,616,America/Chicago,,airnav.com
Mankato Regional Airport,Mankato,United States,*MKT,MKT,44.2227778,-93.9193056,1020.8,America/Chicago,,airnav.com
Southwest Minnesota Regional Airport - Marshall/Ryan Field,Marshall,United States,*MML,MML,44.4517222,-95.8244167,1182.8,America/Chicago,,airnav.com
Hardy-Anders Field Natchez-Adams County Airport,Natchez,United States,*HEZ,HEZ,31.6136611,-91.2973364,272,America/Chicago,,airnav.com
Central Jersey Regional Airport,Manville,United States,*47N,47N,40.5244398,-74.5982909,86,America/New_York,,airnav.com
Kingston-Ulster Airport,Kingston,United States,*20N,20N,41.98525,-73.9643333,147.4,America/New_York,,airnav.com
Ovid Airport,Ovid,United States,*D82,D82,42.6547928,-76.7963428,1026,America/New_York,,airnav.com
Cattaraugus County-Olean Airport,Olean,United States,*OLE,OLE,42.2412222,-78.3713611,2135.3,America/New_York,,airnav.com
Elk River Airport,Banner Elk,United States,*NC06,NC06,36.1604033,-81.8967803,3468,America/New_York,,airnav.com
Northeast Ohio Regional Airport,Ashtabula,United States,*HZY,HZY,41.7779712,-80.6955079,924,America/New_York,,airnav.com
